group_id,source,dataset,orig_id,caption_id,caption_text,spatial_path,frequency_path,qc_pass,qc_score,seed
6,ml_a,SDXL,000000293802,coco-000000293802,A boy performing a kickflip on his skateboard on a city street.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0006__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0006__src-ml_a.jpg,true,1.0,1245808346
6,ml_b,FLUX.1-schnell,000000293802,coco-000000293802,A boy performing a kickflip on his skateboard on a city street.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0006__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0006__src-ml_b.jpg,true,1.0,1245908346
7,ml_a,SDXL,000000324266,coco-000000324266,The bathroom is clean for the guests to use.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0007__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0007__src-ml_a.jpg,true,1.0,1245808347
7,ml_b,FLUX.1-schnell,000000324266,coco-000000324266,The bathroom is clean for the guests to use.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0007__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0007__src-ml_b.jpg,true,1.0,1245908347
8,ml_a,SDXL,1000268201,flickr-2,A child in a pink dress is climbing up a set of stairs in an entry way.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0008__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0008__src-ml_a.jpg,true,1.0,1245808348
8,ml_b,FLUX.1-schnell,1000268201,flickr-2,A child in a pink dress is climbing up a set of stairs in an entry way.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0008__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0008__src-ml_b.jpg,true,1.0,1245908348
9,ml_a,SDXL,000000166532,coco-000000166532,A white bath tub sitting next to a bathroom sink.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0009__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0009__src-ml_a.jpg,true,1.0,1245808349
9,ml_b,FLUX.1-schnell,000000166532,coco-000000166532,A white bath tub sitting next to a bathroom sink.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0009__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0009__src-ml_b.jpg,true,1.0,1245908349
10,ml_a,SDXL,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0010__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0010__src-ml_a.jpg,true,1.0,1245808350
10,ml_b,FLUX.1-schnell,1001573224,flickr-10,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0010__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0010__src-ml_b.jpg,true,1.0,1245908350
11,ml_a,SDXL,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0011__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0011__src-ml_a.jpg,true,1.0,1245808351
11,ml_b,FLUX.1-schnell,1000919630,flickr-6,A man sits in a chair while holding a large stuffed animal of a lion.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0011__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0011__src-ml_b.jpg,true,1.0,1245908351
12,ml_a,SDXL,000000113588,coco-000000113588,several young students working at a desk with multiple computers,runs/prototype_20260326_210106_p8765/covers/ml_a/g0012__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0012__src-ml_a.jpg,true,1.0,1245808352
12,ml_b,FLUX.1-schnell,000000113588,coco-000000113588,several young students working at a desk with multiple computers,runs/prototype_20260326_210106_p8765/covers/ml_b/g0012__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0012__src-ml_b.jpg,true,1.0,1245908352
13,ml_a,SDXL,1006452823,flickr-23,"Two children, a girl and a boy are practicing their writing.",runs/prototype_20260326_210106_p8765/covers/ml_a/g0013__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0013__src-ml_a.jpg,true,1.0,1245808353
13,ml_b,FLUX.1-schnell,1006452823,flickr-23,"Two children, a girl and a boy are practicing their writing.",runs/prototype_20260326_210106_p8765/covers/ml_b/g0013__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0013__src-ml_b.jpg,true,1.0,1245908353
14,ml_a,SDXL,000000309022,coco-000000309022,A commercial stainless kitchen with a pot of food cooking.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0014__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0014__src-ml_a.jpg,true,1.0,1245808354
14,ml_b,FLUX.1-schnell,000000309022,coco-000000309022,A commercial stainless kitchen with a pot of food cooking.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0014__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0014__src-ml_b.jpg,true,1.0,1245908354
15,ml_a,SDXL,1000344755,flickr-3,Someone in a blue shirt and hat is standing on stair and leaning against a window.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0015__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0015__src-ml_a.jpg,true,1.0,1245808355
15,ml_b,FLUX.1-schnell,1000344755,flickr-3,Someone in a blue shirt and hat is standing on stair and leaning against a window.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0015__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0015__src-ml_b.jpg,true,1.0,1245908355
16,ml_a,SDXL,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0016__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0016__src-ml_a.jpg,true,1.0,1245808356
16,ml_b,FLUX.1-schnell,000000372938,coco-000000372938,A group of people riding on the back of a loaded red pickup truck.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0016__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0016__src-ml_b.jpg,true,1.0,1245908356
17,ml_a,SDXL,000000269105,coco-000000269105,A white toilet sitting next to a green wall under a picture.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0017__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0017__src-ml_a.jpg,true,1.0,1245808357
17,ml_b,FLUX.1-schnell,000000269105,coco-000000269105,A white toilet sitting next to a green wall under a picture.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0017__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0017__src-ml_b.jpg,true,1.0,1245908357
18,ml_a,SDXL,000000051191,coco-000000051191,The view of a large bathroom with a walk in closet.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0018__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0018__src-ml_a.jpg,true,1.0,1245808358
18,ml_b,FLUX.1-schnell,000000051191,coco-000000051191,The view of a large bathroom with a walk in closet.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0018__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0018__src-ml_b.jpg,true,1.0,1245908358
19,ml_a,SDXL,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0019__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0019__src-ml_a.jpg,true,1.0,1245808359
19,ml_b,FLUX.1-schnell,000000386164,coco-000000386164,A wooden ball on top of a wooden stick.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0019__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0019__src-ml_b.jpg,true,1.0,1245908359
20,ml_a,SDXL,100652400,flickr-24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,runs/prototype_20260326_210106_p8765/covers/ml_a/g0020__src-ml_a.png,runs/prototype_20260326_210106_p8765/covers/ml_a/g0020__src-ml_a.jpg,true,1.0,1245808360
20,ml_b,FLUX.1-schnell,100652400,flickr-24,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,runs/prototype_20260326_210106_p8765/covers/ml_b/g0020__src-ml_b.png,runs/prototype_20260326_210106_p8765/covers/ml_b/g0020__src-ml_b.jpg,true,1.0,1245908360
